no,genre,C,C++,Python,Go,Rust,Zig
1,Introduction,,,,,,
2,"Built-in Functions, type reflection","assert.h, setjmp.h, stdarg.h, stdnoreturn.h, stdalign.h","typeinfo, type_traits, typeindex, variant, any, optional, concepts, expected, contracts, hazard_pointer",isinstance,"reflect, unsafe, weak",,
3,Built-in Constants,"stddef.h, limits.h, float.h, iso646.h","limits, version, source_location",,,,
4a.,Built-in Types - math,"inttypes.h, stdint.h, fenv.h, complex.h, stdbool.h, stdckdint.h","complex, ratio, stdfloat","int, float, complex",,,
4b.,Built-in Types - string,,,str,,,
4c.,Built-in Types - array,,"list, queue, deque, stack, valarray, vector, array, tuple, span, mdspan, inplace_vector","list, tuple, range","compress (heap, list, ring), slices",,
4d.,Built-in Types - map,,"map, set, unordered_map, unordered_set, flat_set, flat_map","set, frozenset, dict","index, maps",,
4e.,Built-in Types - binary sequences,stdbit.h,"bitset, bit, simd","bytes, bytearray, memoryview",bytes,,
5,Built-in Exceptions,,"exception, stdexcept, system_error","try/except/raise, Warning, Error",errors,,
6,Text Processing Services,"ctype.h, string.h,  wchar.h, wctype.h, uchar.h, stdmchar.h","iomanip, string, string_view, text_encoding, regex, charconv, format","string, re, difflib, unicodedata, stringprep, readline, rlcompleter","encoding, fmt, regexp, strconv, strings, unicode, text",,
7,Binary Data Services,,"memory, new, scoped_allocator, memory_resource, hive","struct, codecs","bufio, embed, structs",,
8,Data Types and algorithms,"time.h, stdlib.h","algorithm, execution, chrono, linalg","datetime, zoneinfo, calendar, collections, collections.abc, heapq, bisect, array, weakref, types, copy, pprint, reprlib, enum, graphlib","time, cmp, sort, unique",,
9,Numeric and Mathematical Modules,tgmath.h,random,"numbers, math, cmath, decimal, fractions, random, statistics",math,,
10,Functional Programming Modules,,"iterator, functional, initializer_list, ranges, compare, generator","itertools, functools, operator",iter,,
11,File and Directory Access,,filesystem,"pathlib, os.path, stat, filecmp, tempfile, glob, fnmatch, linecache, shutil",path,,
12,Data Persistence,,,"pickle, copyreg, shelve, marshal, dbm, sqlite3",database,,
13,Data Compression and Archiving,,,"zlib, gzip, bz2, lzma, zipfile, tarfile","archive (tar, zip), compress (bzip2, flate, gzip, lzw, zlib)",,
14,File Formats,,,"csv, configparser, tomllib, netrc, plistlib",,,
15,Cryptographic Services,,,"hashlib, hmac, secrets","crypto, hash",,
16,Generic Operating System Services,"errno.h, stdio.h","ostream, istream, iostream, streambuf, ios, iosfwd, sstream, syncstream, spanstream, print","os, io, time, logging, logging.config, logging.handlers, platform, errno, ctypes","io (fs, ioutils), log, os",,
17,Command Line Interface Libraries,,,"argparse, optparse, getpass, fileinput, curses, curses.textpad, curses.ascii, curses.panel",flag,,
18,Concurrent Execution,"threads.h, atdatomic.h","condition_variable, mutex, atomic, thread, shared_mutex, barrier, latch, semaphore, coroutine, stop_token, rcu","threading, multiprocessing, multiprocessing.shared_memory, concurrent.futures, subprocess, sched, queue, contextvars, _thread","context, expvar, sync",,
19,Networking and Interprocess Communication,signal.h,,"asyncio, socket, ssl, select, selectors, signal, mmap",,,
20,Internet Data Handling,,,"email, json, mailbox, mimetypes, base64, binascii, quopri",,,
21,Structured Markup Processing Tools,,,"html, html.parser, html.entities, xml.etree.ElementTree, xml.dom, xml.dom.minidom, xml.dom.pulldom, xml.sax, xml.sax.handler, xml.sax.saxutils, xml.sax.xmlreader, xml.parsers.expat","html, mime",,
22,Internet Protocols and Support,,,"webbrowser, wsgiref, urllib, urllib.request, urllib.response, urllib.parse, urllib.error, urllib.robotparser, http, http.client, ftplib, poplib, imaplib, smtplib, uuid, socketserver, http.server, http.cookies, http.cookiejar, xmlrpc, xmlrpc.client, xmlrpc.server, ipaddress",net,,
23,Multimedia Services,,,"wave, colorsys",image,,
24,Internationalization,locale.h,locale,"gettext, locale",,,
25,Program Frameworks,,,"turtle, cmd, shlex",,,
26,Graphical User Interfaces with Tk,,,"tkinter, tkinter.colorchooser, tkinter.font, tkinter.messagebox, tkinter.scrolledtext, tkinter.dnd, tkinter.ttk, IDLE",,,
27,Development Tools,,,"typing, pydoc, Python, doctest, unittest, unittest.mock, unittest.mock, test, test.support, test.support.socket_helper, test.support.script_helper, test.support.bytecode_helper, test.support.threading_helper, test.support.os_helper, test.support.import_helper, test.support.warnings_helper",,,
28,Debugging and Profiling,,"stacktrace, debugging","Audit , bdb , faulthandler, pdb , The , timeit , trace , tracemalloc",debug,,
29,Software Packaging and Distribution,,,"ensurepip, venv , zipapp",,,
30,Runtime Services,,,"sys , sys.monitoring, sysconfig , builtins , **main** , warnings , dataclasses , contextlib , abc , atexit , traceback , **future** , gc , inspect , site",runtime,,
31,Custom Interpreters,,,"code , codeop",,,
32,Importing Modules,,,"zipimport , pkgutil , modulefinder , runpy , importlib , importlib.resources , importlib.resources.abc, importlib.metadata",plugin,,
33,Language Services,,,"ast , symtable , token , keyword , tokenize , tabnanny , pyclbr , py_compile , compileall , dis , pickletools",go,,
34,MS Windows Specific Services,,,"msvcrt , winreg , winsound",,,
35,Unix Specific Services,,,"posix , pwd , grp , termios , tty , pty , fcntl , resource, syslog",,,
36,Modules command-line interface (CLI),,,,,,
37,Superseded Modules,,,getopt,,,
38,Removed Modules,,,,,,
39,Security Considerations,,,,,,
